class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
LinearSVR,5,17280,3456,3456,0,5.023148148,4.832175926,5.208333333,0.141279579,5.023148148,4.832175926,5.208333333,0.141279579,6,5,1,0.166666667,0.408441308,0.024957113,0.926122062,0.135360445,0.959549309,0.074456524,2.330976398,0.130743189,1,1,1,0,2,1,5,1.549193338,5.2,5,6,0.4,5.8,5,6,0.4,4,4,4,0,2,2,2,0,0,0,0,0,0.056856285,0,0,0.500402424
XGBRegressor,20,24181,1210,1209,0.217944947,5.003944247,2.977667494,6.534325889,0.819947844,5.003944247,2.977667494,6.534325889,0.819947844,4,4,0,0.166666667,3.173943112,1.46E-05,4.714708945,0.557333261,16.04915194,0.196346596,26.89904597,2.883499287,0,0,0,0,2.75,0,4,0.942072184,3.2,3,4,0.4,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.01586046,0,0,0.325082973
HUBERREGRESSOR,5,42046,8410,8409,0.4,5.039719773,4.780592223,5.398977286,0.222814721,5.039719773,4.780592223,5.398977286,0.222814721,5,4,1,0.166666667,0.746665865,0.059413339,1.599136906,0.000149748,1.283517195,0.343233796,2.224003146,0.000336304,1,1,1,0,3.4,1,5,1.959591794,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.056965043,0,0,0.673011667
HUBERREGRESSOR,5,5760,1152,1152,0,4.965277778,4.253472222,5.902777778,0.547357041,4.965277778,4.253472222,5.902777778,0.547357041,8,7,1,1,1.848723875,0.002862734,2.964432605,0.294686311,9.188229969,0.330468996,15.2828154,1.372126252,1,1,1,0,3.8,1,8,3.059411708,7.2,7,8,0.4,7.8,7,8,0.4,6,6,6,0,4,4,4,0,0,0,0,0,0.076673633,0,0,0.500402424
HUBERREGRESSOR,15,14011,935,934,0.249443826,4.946130915,3.74732334,6.852248394,0.775330707,4.946130915,3.74732334,6.852248394,0.775330707,6,6,0,0.5,1.529225868,3.98E-08,3.851341094,0.491922734,8.826952681,0.280391053,25.5718205,2.382455941,0,0,0,0,5,5,5,0,5.066666667,5,6,0.249443826,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.179577528,0,0,0
LASSO,5,5760,1152,1152,0,5.121527778,4.079861111,5.989583333,0.709472804,5.121527778,4.079861111,5.989583333,0.709472804,5,5,0,0.5,2.109899665,0.000853942,4.252433564,0.620568677,9.047603356,1.145913601,20.79884841,2.791633099,0,0,0,0,2,0,5,2.097617696,4.2,4,5,0.4,4.8,4,5,0.4,4,4,4,0,2,2,2,0,0,0,0,0,0.012754424,0,0,0.673011667
XGBRegressor,5,17280,3456,3456,0,4.988425926,4.658564815,5.179398148,0.216221547,4.988425926,4.658564815,5.179398148,0.216221547,3,3,0,0.166666667,0.860055718,0.000451801,4.377092094,0.899315773,3.624928916,0.157103291,22.2707821,4.532470771,0,0,0,0,2.8,2,3,0.4,2.6,2,3,0.489897949,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0.237904884,0,0,0
ELASTICNETCV,15,42046,2804,2803,0.249443826,5.087288448,4.388155548,5.636817695,0.31988773,5.087288448,4.388155548,5.636817695,0.31988773,1,1,0,0.166666667,0.208342414,0.000268322,0.760437123,0,1.150429261,0.808927982,1.311819395,0,0,0,0,0,0.066666667,0,1,0.249443826,0.066666667,0,1,0.249443826,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011108206,0,0,0
HUBERREGRESSOR,5,8061,1613,1612,0.4,5.024237007,4.649721017,5.70719603,0.37689328,5.024237007,4.649721017,5.70719603,0.37689328,4,3,1,0.5,0.091228427,0.017851406,0.2310137,0.000360045,1.093359645,0.782742897,1.284915293,0.00093706,1,1,1,0,1.6,1,4,1.2,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.180316168,0,0,0.500402424
LASSO,10,31101,3111,3110,0.3,4.990198662,4.405144695,5.723472669,0.388269962,4.990198662,4.405144695,5.723472669,0.388269962,8,8,0,0.166666667,0.776619705,1.59E-05,2.944434179,0.418172131,4.895355266,1.121107828,14.7556424,1.484221014,0,0,0,0,7.1,7,8,0.3,7,7,7,0,8,8,8,0,3,3,3,0,1,1,1,0,3,3,3,0,0.10200706,3109,141,0
