class,num_clients,Sum of Instances in Clients,Max. Of Instances in Clients,Min. Of Instances in Clients,Stddev of Instances in Clients,Average Dataset Missing Values %,Min Dataset Missing Values %,Max Dataset Missing Values %,Stddev Dataset Missing Values %,Average Target Missing Values %,Min Target Missing Values %,Max Target Missing Values %,Stddev Target Missing Values %,No. Of Features,No. Of Numerical Features,No. Of Categorical Features,Sampling Rate,Average Skewness of Numerical Features,Minimum Skewness of Numerical Features,Maximum Skewness of Numerical Features,Stddev Skewness of Numerical Features,Average Kurtosis of Numerical Features,Minimum Kurtosis of Numerical Features,Maximum Kurtosis of Numerical Features,Stddev Kurtosis of Numerical Features,Avg No. of Symbols per Categorical Features,Min. No. Of Symbols per Categorical Features,Max. No. Of Symbols per Categorical Features,Stddev No. Of Symbols per Categorical Features,Avg No. Of Stationary Features,Min No. Of Stationary Features,Max No. Of Stationary Features,Stddev No. Of Stationary Features,Avg No. Of Stationary Features after 1st order,Min No. Of Stationary Features after 1st order,Max No. Of Stationary Features after 1st order,Stddev No. Of Stationary Features after 1st order,Avg No. Of Stationary Features after 2nd order,Min No. Of Stationary Features after 2nd order,Max No. Of Stationary Features after 2nd order,Stddev No. Of Stationary Features after 2nd order,Avg No. Of Significant Lags in Target,Min No. Of Significant Lags in Target,Max No. Of Significant Lags in Target,Stddev No. Of Significant Lags in Target,Avg No. Of Insignificant Lags in Target,Max No. Of Insignificant Lags in Target,Min No. Of Insignificant Lags in Target,Stddev No. Of Insignificant Lags in Target,Avg. No. Of Seasonality Components in Target,Max No. Of Seasonality Components in Target,Min No. Of Seasonality Components in Target,Stddev No. Of Seasonality Components in Target,Average Fractal Dimensionality Across Clients of Target,Maximum Period of Seasonality Components in Target Across Clients,Minimum Period of Seasonality Components in Target Across Clients,Entropy of Target Stationarity
LASSO,5,10366,2074,2073,0.4,4.919926073,4.100337675,5.595754945,0.500342664,4.919926073,4.100337675,5.595754945,0.500342664,3,2,1,0.5,0.0945365,0.025709698,0.269324398,0.000288489,1.124946243,0.865704093,1.364888454,0.000280808,1,1,1,0,2.2,1,3,0.979795897,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.205946933,0,0,0.673011667
LinearSVR,10,10361,1037,1036,0.3,5.067204551,3.760848602,5.888030888,0.560774012,5.067204551,3.760848602,5.888030888,0.560774012,2,2,0,0.166666667,0.170140294,0,0.902153749,0.193594895,1.218069078,0.431399501,1.668990423,0.161303056,0,0,0,0,0.8,0,1,0.4,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061778244,0,0,0
XGBRegressor,20,42041,2103,2102,0.217944947,5.021283763,4.234062797,5.518553758,0.388023135,5.021283763,4.234062797,5.518553758,0.388023135,2,2,0,0.166666667,0.357998749,2.99E-05,2.776709331,0.572329515,1.404594616,0.06721561,7.022466952,0.987896721,0,0,0,0,1.25,1,2,0.433012702,1.15,1,2,0.357071421,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01450965,0,0,0.198515243
HUBERREGRESSOR,15,17280,1152,1152,0,4.988425926,3.819444444,6.510416667,0.811754433,4.988425926,3.819444444,6.510416667,0.811754433,5,5,0,0.166666667,0.373375155,0.012256975,1.003301458,0.001950514,0.868755985,0.019703361,2.743044272,0.003701847,0,0,0,0,1.133333333,0,5,1.995550606,5,5,5,0,5,5,5,0,5,5,5,0,3,3,3,0,0,0,0,0,0.174840604,0,0,0.500402424
LASSO,10,14011,1402,1401,0.3,5.0674116,4.211277659,5.85296217,0.419384418,5.0674116,4.211277659,5.85296217,0.419384418,1,1,0,0.5,0.221815168,0.000251756,0.81996634,0,1.044845918,0.328614176,1.323859182,0,0,0,0,0,0.1,0,1,0.3,0.1,0,1,0.3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014198571,0,0,0.500402424
QUANTILEREGRESSOR,10,10361,1037,1036,0.3,4.999478746,4.343629344,5.598455598,0.399325862,4.999478746,4.343629344,5.598455598,0.399325862,3,3,0,0.166666667,0.239672783,0.035950497,0.703475961,0.114877759,0.833540132,0.125084812,1.677997362,0.163047101,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.23271931,0,0,0
XGBRegressor,15,20731,1383,1382,0.249443826,4.905682293,3.762662808,5.861070912,0.510960148,4.905682293,3.762662808,5.861070912,0.510960148,3,3,0,0.166666667,1.439320196,0.039424222,4.818174271,1.263653013,8.25752093,1.178403908,29.16213527,6.567788822,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.188572115,0,0,0
LASSO,5,4606,922,921,0.4,5.015320987,4.446854664,5.42888165,0.380065314,5.015320987,4.446854664,5.42888165,0.380065314,7,7,0,0.5,0.014059184,4.96E-11,0.414078595,0.060842286,1.450073498,0.91916788,1.50308308,0.042084484,0,0,0,0,5.4,4,7,1.019803903,6.4,6,7,0.489897949,7,7,7,0,0,0,0,0,0,0,0,0,6,6,6,0,0.012584794,131,6,0
XGBRegressor,15,42046,2804,2803,0.249443826,5.044471237,4.281127364,5.779521941,0.372027201,5.044471237,4.281127364,5.779521941,0.372027201,1,1,0,0.166666667,0.704358705,0.02159991,2.319948311,0,1.100052273,0.201563431,4.290135003,0,0,0,0,0,0.4,0,1,0.489897949,0.066666667,0,1,0.249443826,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015315327,0,0,0.500402424
LASSO,5,11520,2304,2304,0,4.887152778,4.470486111,5.208333333,0.250986672,4.887152778,4.470486111,5.208333333,0.250986672,5,5,0,0.5,1.1020821,0.00079723,2.636563767,0.338496879,5.160776591,0.002576928,11.84941866,1.237076051,0,0,0,0,4.2,4,5,0.4,4,4,4,0,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.244008747,0,0,0
XGBRegressor,15,14011,935,934,0.249443826,4.874799131,3.854389722,6.102783726,0.585348797,4.874799131,3.854389722,6.102783726,0.585348797,2,2,0,0.5,0.215037933,4.86E-06,1.962928679,0.400920979,1.15246764,0.184154404,2.527668966,0.286177888,0,0,0,0,1.2,1,2,0.4,1.133333333,1,2,0.339934634,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023605735,0,0,0.500402424
HUBERREGRESSOR,5,8061,1613,1612,0.4,5.110985649,4.52853598,5.893300248,0.507466423,5.110985649,4.52853598,5.893300248,0.507466423,3,3,0,0.5,0.807458532,0.085153111,1.653556716,0.003541965,3.131086052,1.450746393,6.270918616,0.002799857,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0.323437002,0,0,0
LinearSVR,20,27641,1383,1382,0.217944947,5.007068465,3.979739508,6.150506512,0.588221185,5.007068465,3.979739508,6.150506512,0.588221185,4,4,0,0.166666667,3.116789018,8.36E-06,4.813202856,0.632577609,15.93074663,0.035806801,28.18548046,3.528643866,0,0,0,0,2.9,1,4,0.7,3.15,3,4,0.357071421,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.016036293,0,0,0.325082973
XGBRegressor,10,20731,2074,2073,0.3,5.016602309,4.438012542,5.834136933,0.487674761,5.016602309,4.438012542,5.834136933,0.487674761,7,7,0,0.166666667,1.874827167,1.17E-05,4.640912823,0.415199379,9.736726757,0.018187107,25.71363209,3.538721114,0,0,0,0,6.2,4,7,0.871779789,6.1,6,7,0.3,7,7,7,0,3,3,3,0,1,1,1,0,3,3,3,0,0.012121524,2072,2,0.325082973
LinearSVR,20,38001,1901,1900,0.217944947,5.055130264,4.052631579,6.368421053,0.52565188,5.055130264,4.052631579,6.368421053,0.52565188,11,10,1,0.166666667,1.411080891,2.29E-05,3.685782708,0.45612133,8.484037434,0.06001391,19.91997863,1.61308617,1,1,1,0,8.3,4,10,2.410394159,10,10,10,0,11,11,11,0,5,5,5,0,3,3,3,0,4,4,4,0,0.024836689,950,949,0.610864302
LASSO,20,41920,2096,2096,0,0,0,0,0,0,0,0,0,1,1,0,0.166666667,0.212325435,0.017053293,0.458729056,0,0.849381526,0.477790327,1.104077025,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.896701753,0,0,0
LASSO,5,12671,2535,2534,0.4,5.043014218,4.696132597,5.288082084,0.204967806,5.043014218,4.696132597,5.288082084,0.204967806,5,4,1,0.5,1.938600882,0.01715034,3.041276519,0.254745325,9.744677498,0.097087385,17.54892484,1.544666584,1,1,1,0,4,4,4,0,4,4,4,0,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.05059483,0,0,0
XGBRegressor,5,13821,2765,2764,0.4,5.093726366,4.701627486,5.499276411,0.285711076,5.093726366,4.701627486,5.499276411,0.285711076,4,4,0,0.166666667,1.95446484,0.895300337,4.415690476,0.002768006,6.313173173,0.053022858,22.62102497,0.047338345,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,2,2,2,0,0,0,0,0,0.113669677,0,0,0
HUBERREGRESSOR,10,10361,1037,1036,0.3,5.038079476,3.957528958,5.598455598,0.453847663,5.038079476,3.957528958,5.598455598,0.453847663,2,2,0,0.166666667,0.118392155,0,0.433435109,0.118600126,1.24668141,0,1.722634061,0.247982674,0,0,0,0,0.9,0,1,0.3,1,1,1,0,1.9,1,2,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.092777319,0,0,0
HUBERREGRESSOR,5,8061,1613,1612,0.4,4.937365297,4.714640199,5.334987593,0.22428216,4.937365297,4.714640199,5.334987593,0.22428216,4,3,1,0.5,0.107808743,0.037304675,0.222231861,0.000299491,1.06316252,0.734863434,1.272383609,0.000642022,1,1,1,0,1,1,1,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.185545592,0,0,0
LASSO,15,13816,922,921,0.249443826,5.095580506,4.017372421,6.297502714,0.59956403,5.095580506,4.017372421,6.297502714,0.59956403,2,2,0,0.166666667,0.25588282,0.008676614,0.772234447,0.150433003,1.212374322,0.626291708,1.530632351,0.11691697,0,0,0,0,1,1,1,0,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069134827,0,0,0
QUANTILEREGRESSOR,15,24181,1613,1612,0.249443826,4.929499102,3.970223325,5.459057072,0.423190937,4.929499102,3.970223325,5.459057072,0.423190937,2,1,1,0.166666667,0.10861942,0.006397241,0.718242553,0,0.851013202,0.497621842,1.424886779,0,1,1,1,0,1,1,1,0,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079908157,0,0,0
XGBRegressor,15,17280,1152,1152,0,4.849537037,3.472222222,6.076388889,0.656414303,4.849537037,3.472222222,6.076388889,0.656414303,4,4,0,0.166666667,3.311792646,4.49E-06,4.781885401,0.572739871,17.5692404,0.39757246,27.84641551,3.101884267,0,0,0,0,3.066666667,1,4,0.679869268,3.066666667,3,4,0.249443826,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.011595881,0,0,0.244930027
HUBERREGRESSOR,5,5760,1152,1152,0,5.034722222,4.513888889,5.295138889,0.305673904,5.034722222,4.513888889,5.295138889,0.305673904,3,3,0,0.5,0.050749265,0.001575817,0.134666398,0.024441177,0.778225902,0.535679621,1.202323017,0.020434285,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.500431673,0,0,0
XGBRegressor,10,9211,922,921,0.3,5.004804737,4.451682953,5.748373102,0.483273786,5.004804737,4.451682953,5.748373102,0.483273786,4,4,0,0.5,1.33968917,0.000699665,4.669576935,0.889708508,4.910808286,0.020765028,26.49115892,5.790690181,0,0,0,0,3,3,3,0,3.1,3,4,0.3,4,4,4,0,2,2,2,0,0,0,0,0,0,0,0,0,0.27472801,0,0,0
LinearSVR,5,13821,2765,2764,0.4,5.093723749,4.630969609,5.571635311,0.358790132,5.093723749,4.630969609,5.571635311,0.358790132,7,5,2,0.166666667,0.113589574,1.49E-10,2.029225563,0.34641959,1.434220478,0.815536815,2.806915905,0.183264699,1.416757117,1,2,0,5.4,5,6,0.489897949,6,6,6,0,7,7,7,0,0,0,0,0,0,0,0,0,3,3,3,0,0.008755273,8,4,0
LASSO,20,24181,1210,1209,0.217944947,5.041137748,4.135649297,5.70719603,0.514096312,5.041137748,4.135649297,5.70719603,0.514096312,2,1,1,0.166666667,0.190709353,0.013161339,0.393965336,0,1.237696498,1.185460052,1.298946978,0,1,1,1,0,1,1,1,0,1,1,1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082371088,0,0,0
XGBRegressor,15,13816,922,921,0.249443826,4.972580811,3.691639522,6.51465798,0.790567111,4.972580811,3.691639522,6.51465798,0.790567111,5,5,0,0.166666667,2.528904935,9.01E-05,4.954769321,0.554949556,13.68380986,0.598004155,27.67066096,3.273822047,0,0,0,0,3.8,1,4,0.748331477,4.2,4,5,0.4,4.866666667,3,5,0.498887652,3,3,3,0,1,1,1,0,1,1,1,0,0.012688084,3,3,0.244930027
XGBRegressor,10,31101,3111,3110,0.3,5.041621836,4.469453376,5.56091289,0.375229041,5.041621836,4.469453376,5.56091289,0.375229041,6,6,0,0.166666667,1.627775023,1.13E-06,4.482839616,0.910720354,8.394865179,0.176033066,23.37885785,4.858327509,0,0,0,0,5,5,5,0,5.2,5,6,0.4,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.137883108,0,0,0
XGBRegressor,20,20721,1037,1036,0.217944947,5.05283283,3.957528958,6.177606178,0.626399379,5.05283283,3.957528958,6.177606178,0.626399379,2,2,0,0.166666667,0.187303889,0,1.640129469,0.303995587,1.191121629,0.121107923,1.670956057,0.213246755,0.45,0,9,0,0.55,0,1,0.497493719,1.1,1,2,0.3,1.95,1,2,0.217944947,0,0,0,0,0,0,0,0,0,0,0,0,0.045568898,0,0,0.688138814
XGBRegressor,15,27646,1844,1843,0.249443826,5.067624111,4.12371134,5.534454693,0.364427836,5.067624111,4.12371134,5.534454693,0.364427836,5,5,0,0.166666667,2.213991096,0.846414912,4.752505825,0.003581129,8.40374324,0.037087846,27.09602279,0.037865055,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,0,3,3,3,0,0,0,0,0,0.133757365,0,0,0
HUBERREGRESSOR,20,34560,1728,1728,0,5.046296296,3.645833333,6.539351852,0.536854914,5.046296296,3.645833333,6.539351852,0.536854914,4,4,0,0.166666667,3.347839773,2.65E-06,6.069981696,0.640170388,22.79289308,0.46416847,46.19523642,4.182924091,0,0,0,0,2.95,1,4,0.497493719,3.1,3,4,0.3,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.01585396,0,0,0.198515243
LASSO,15,41931,2796,2795,0.489897949,0,0,0,0,0,0,0,0,1,1,0,0.166666667,0.221971223,0.00461776,0.38196326,0,0.823027909,0.482151569,1.089310225,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.898963001,0,0,0
LinearSVR,10,17280,1728,1728,0,5.05787037,4.282407407,5.671296296,0.42541611,5.05787037,4.282407407,5.671296296,0.42541611,5,5,0,0.166666667,2.84988647,0.000655496,4.577649145,0.646311868,16.54344173,0.821461467,27.53605651,3.064454197,0,0,0,0,3.7,1,4,0.9,4,4,4,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.017094681,0,0,0.325082973
XGBRegressor,15,42046,2804,2803,0.249443826,5.013558769,4.316803425,5.565465573,0.305787061,5.013558769,4.316803425,5.565465573,0.305787061,1,1,0,0.166666667,0.429788675,1.66E-05,2.336959065,0,1.204135237,0.11565446,4.452484912,0,0,0,0,0,0.266666667,0,1,0.442216639,0.2,0,1,0.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015756147,0,0,0.500402424
XGBRegressor,5,6911,1383,1382,0.4,4.977612167,4.630969609,5.716353111,0.389878136,4.977612167,4.630969609,5.716353111,0.389878136,5,4,1,0.5,1.985760846,0.010755791,5.178018818,0.971969109,10.1041183,0.236646041,34.14713162,6.110877968,1,1,1,0,2.4,1,4,1.356465997,4.4,4,5,0.489897949,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.066549631,0,0,0.673011667
HUBERREGRESSOR,5,11520,2304,2304,0,4.913194444,4.600694444,5.381944444,0.277777778,4.913194444,4.600694444,5.381944444,0.277777778,5,4,1,0.5,0.137208342,0.067536315,0.281381847,0.00067882,0.835048515,0.39581044,1.154239751,0.001068593,1,1,1,0,4.2,1,5,1.6,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.168304994,0,0,0.500402424
LinearSVR,5,42046,8410,8409,0.4,4.932689609,4.602211916,5.410869307,0.305681253,4.932689609,4.602211916,5.410869307,0.305681253,4,4,0,0.166666667,2.030839841,0.801497021,2.790123163,0.00021354,10.30121048,3.973503254,13.99973567,0.005227218,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,2,2,2,0,0,0,0,0,0.073220984,0,0,0
QUANTILEREGRESSOR,10,18991,1900,1899,0.3,0,0,0,0,0,0,0,0,2,2,0,24,2.356125845,0.049136711,6.305783002,1.181648074,16.10680861,0.203710946,76.04630277,17.03130995,0,0,0,0,1.4,1,2,0.489897949,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.538549147,0,0,0
HUBERREGRESSOR,10,34560,3456,3456,0,4.90162037,4.571759259,5.439814815,0.224578795,4.90162037,4.571759259,5.439814815,0.224578795,5,4,1,0.166666667,0.177099201,0.003346847,0.463225411,0.000348316,0.811858691,0.11484061,1.251741718,0.00072773,1,1,1,0,0.9,0,1,0.3,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.071898622,0,0,0
HUBERREGRESSOR,15,17280,1152,1152,0,4.994212963,3.559027778,5.815972222,0.61451685,4.994212963,3.559027778,5.815972222,0.61451685,4,4,0,0.166666667,0.429039302,0.001591102,1.21101697,0.172247037,1.371133722,0.11261531,4.058646148,0.39507865,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,3,3,3,0,1,1,1,0,0,0,0,0,0.199396039,0,0,0
LASSO,20,31101,1556,1555,0.217944947,5.031989023,3.922829582,5.980707395,0.547110161,5.031989023,3.922829582,5.980707395,0.547110161,3,2,1,0.166666667,0.190610831,0.003083944,0.592701345,0.093311599,1.146996416,0.806323297,1.33227198,0.096225347,1,1,1,0,1,1,1,0,2,2,2,0,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0.075684133,0,0,0
XGBRegressor,20,17280,864,864,0,5.011574074,3.587962963,6.134259259,0.744798636,5.011574074,3.587962963,6.134259259,0.744798636,3,3,0,0.166666667,1.129424926,0.00049805,4.740105139,1.171361654,6.441621155,0.22994229,26.7566267,5.95034878,0,0,0,0,2.9,1,3,0.435889894,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.167343588,0,0,0.198515243
HUBERREGRESSOR,10,10361,1037,1036,0.3,5.163552794,4.536679537,5.791505792,0.490286152,5.163552794,4.536679537,5.791505792,0.490286152,8,8,0,0.166666667,1.474991366,3.32E-07,5.048683911,0.685555911,11.4056628,1.188201933,32.9750477,2.293450189,0,0,0,0,5.6,3,6,0.916515139,7,7,7,0,8,8,8,0,3,3,3,0,1,1,1,0,4,4,4,0,0.010481425,345,2,0
XGBRegressor,15,14011,935,934,0.249443826,4.946191987,3.85026738,5.888650964,0.690107314,4.946191987,3.85026738,5.888650964,0.690107314,4,4,0,0.5,0.0876766,6.64E-07,1.848649622,0.258662656,1.415316308,0.599788475,2.103411682,0.113548084,0,0,0,0,3.066666667,2,4,0.442216639,3.066666667,3,4,0.249443826,3.933333333,3,4,0.249443826,0,0,0,0,0,0,0,0,3,3,3,0,0.023254703,934,2,0.500402424
LASSO,10,13821,1383,1382,0.3,4.970705894,4.196816208,5.933429812,0.475738075,4.970705894,4.196816208,5.933429812,0.475738075,3,2,1,0.166666667,0.241259657,0.011308473,0.54678263,0.071962726,1.135783839,0.325690394,1.384447444,0.130103111,1,1,1,0,1,1,1,0,2,2,2,0,3,3,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0.07694282,0,0,0
HUBERREGRESSOR,5,24191,4839,4838,0.4,5.006003567,4.671351798,5.436130632,0.270429038,5.006003567,4.671351798,5.436130632,0.270429038,5,5,0,0.166666667,0.816188535,0.017257984,1.923036787,0.245678356,3.898894809,1.19811757,8.193328506,0.926675185,0,0,0,0,5,5,5,0,5,5,5,0,5,5,5,0,4,4,4,0,2,2,2,0,0,0,0,0,0.155045152,0,0,0
LinearSVR,10,17280,1728,1728,0,4.965277778,4.282407407,5.844907407,0.454051973,4.965277778,4.282407407,5.844907407,0.454051973,7,7,0,0.166666667,1.470760591,1.59E-05,4.653740687,0.716549934,10.58557542,1.107081951,27.64471478,3.617639116,0,0,0,0,5.8,4,6,0.6,6.1,6,7,0.3,7,7,7,0,3,3,3,0,1,1,1,0,3,3,3,0,0.010926306,1727,3,0.500402424
LinearSVR,20,38001,1901,1900,0.217944947,4.965651042,3.947368421,5.736842105,0.488646472,4.965651042,3.947368421,5.736842105,0.488646472,6,6,0,0.166666667,2.890227032,1.76E-05,5.27824443,0.487515244,18.66988052,0.144509563,36.47863758,2.816973406,0,0,0,0,4.85,1,6,0.90967027,5,5,5,0,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.014890414,0,0,0.198515243
HUBERREGRESSOR,15,12661,845,844,0.249443826,4.999635436,3.909952607,6.63507109,0.680427293,4.999635436,3.909952607,6.63507109,0.680427293,3,3,0,0.5,0.130386864,0.003132609,0.292177356,0.001253557,0.370678828,0.018423663,0.628022219,0.001443947,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0.451924384,0,0,0
XGBRegressor,5,27646,5530,5529,0.4,5.161701069,4.773960217,5.425935974,0.233482743,5.161701069,4.773960217,5.425935974,0.233482743,1,0,1,0.166666667,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067713298,0,0,0.500402424
HUBERREGRESSOR,10,42041,4205,4204,0.3,4.935667973,4.186489058,5.542340628,0.38488326,4.935667973,4.186489058,5.542340628,0.38488326,3,3,0,0.166666667,2.210382581,0.130375655,3.110512418,0.000878579,12.47387621,6.556413345,16.05658383,0.012435708,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,1,1,1,0,0,0,0,0,0.070886643,0,0,0
XGBRegressor,5,27646,5530,5529,0.4,5.06040254,4.865255923,5.190812082,0.118369125,5.06040254,4.865255923,5.190812082,0.118369125,2,2,0,0.166666667,1.243207023,0.007498667,4.549315314,1.4358726,7.017043603,1.207548246,24.31104534,6.834194035,0,0,0,0,2,2,2,0,2,2,2,0,2,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0.157809986,0,0,0
XGBRegressor,10,11520,1152,1152,0,4.895833333,3.645833333,5.902777778,0.642830159,4.895833333,3.645833333,5.902777778,0.642830159,6,5,1,0.5,2.364111781,0.00027028,4.565437642,0.69624486,10.91780378,0.06620542,25.15597429,4.226792721,1,1,1,0,3.6,0,6,2.009975124,5.3,5,6,0.458257569,6,6,6,0,4,4,4,0,2,2,2,0,0,0,0,0,0.055013887,0,0,0.673011667
XGBRegressor,10,24191,2420,2419,0.3,5.055584406,4.29929723,5.746176106,0.42222092,5.055584406,4.29929723,5.746176106,0.42222092,3,3,0,0.166666667,1.548667324,0.014190256,4.50227109,1.210803771,8.418688567,0.204424981,25.30612468,6.217464763,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.161161952,0,0,0
XGBRegressor,15,17280,1152,1152,0,4.94212963,3.125,6.857638889,0.893980163,4.94212963,3.125,6.857638889,0.893980163,6,6,0,0.166666667,2.490601291,0.001329836,5.020490563,0.656614748,11.29065756,0.10669377,30.85701822,4.563176346,0,0,0,0,5.6,5,6,0.489897949,5,5,5,0,6,6,6,0,5,5,5,0,3,3,3,0,0,0,0,0,0.063081163,0,0,0
ELASTICNETCV,5,42046,8410,8409,0.4,5.07538339,4.768700202,5.505350773,0.256648237,5.07538339,4.768700202,5.505350773,0.256648237,1,1,0,0.166666667,1.050371365,0.084879682,2.440312871,0,1.982275141,0.770504888,5.028367556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016076285,0,0,0.673011667
HUBERREGRESSOR,5,17280,3456,3456,0,4.947916667,4.600694444,5.381944444,0.262019246,4.947916667,4.600694444,5.381944444,0.262019246,4,4,0,0.166666667,0.334224501,0.151555623,0.667768078,0.00030789,0.658577359,0.045256832,1.716982167,0.000673223,0,0,0,0,4,4,4,0,4,4,4,0,4,4,4,0,4,4,4,0,2,2,2,0,0,0,0,0,0.189157956,0,0,0
XGBRegressor,5,17280,3456,3456,0,5.063657407,4.600694444,5.584490741,0.327875358,5.063657407,4.600694444,5.584490741,0.327875358,6,5,1,0.166666667,3.455686967,0.014668942,4.783284171,0.674435911,16.69035904,0.741558773,27.58828031,3.594707856,1,1,1,0,4.4,4,6,0.8,4.2,4,5,0.4,5.2,5,6,0.4,4,4,4,0,2,2,2,0,0,0,0,0,0.012307589,0,0,0
LASSO,5,41931,8387,8386,0.4,0,0,0,0,0,0,0,0,1,1,0,0.166666667,0.189138025,0.020904981,0.301569627,0,0.851499939,0.78499989,0.959910729,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.89535268,0,0,0
XGBRegressor,20,42041,2103,2102,0.217944947,5.016532044,4.471931494,6.184586108,0.386636861,5.016532044,4.471931494,6.184586108,0.386636861,3,3,0,0.166666667,0.190467982,3.53E-05,2.725048747,0.441084057,1.51726413,0.64380803,6.414534927,0.59970416,0,0,0,0,2.15,2,3,0.357071421,2,1,3,0.547722558,3,3,3,0,0,0,0,0,0,0,0,0,2,2,2,0,0.017436763,4,4,0
XGBRegressor,20,42041,2103,2102,0.217944947,5.059354065,4.329210276,6.232159848,0.506292336,5.059354065,4.329210276,6.232159848,0.506292336,3,3,0,0.166666667,1.282625536,0.00096116,4.748084685,1.054596054,6.723459631,0.212532114,28.80891027,5.70940388,0,0,0,0,3,3,3,0,3,3,3,0,3,3,3,0,2,2,2,0,0,0,0,0,0,0,0,0,0.152178206,0,0,0
LASSO,10,42041,4205,4204,0.3,5.047454381,4.281636537,5.994291151,0.399996049,5.047454381,4.281636537,5.994291151,0.399996049,10,9,1,0.166666667,0.976647858,2.66E-05,3.732804751,0.354364386,6.461641366,1.000393357,21.08219536,1.611232705,1,1,1,0,9.2,9,10,0.4,9.1,9,10,0.3,10,10,10,0,3,3,3,0,1,1,1,0,5,5,5,0,0.023756128,4205,1051,0
XGBRegressor,5,11520,2304,2304,0,4.947916667,4.513888889,5.251736111,0.279939505,4.947916667,4.513888889,5.251736111,0.279939505,5,4,1,0.5,2.402816879,0.032885972,4.508813998,0.800277971,10.52498223,0.120486707,23.91378294,4.713063724,1,1,1,0,3.6,1,5,1.356465997,4,4,4,0,5,5,5,0,3,3,3,0,1,1,1,0,0,0,0,0,0.05107495,0,0,0.500402424
